p_convert,requested_attempts,gate,synthetic_event_family_count,effective_attempts,p_at_least_one_conversion_analytical,p_at_least_one_conversion_simulated
0.4,1,G3_distinct_event_family,4,1,0.4,0.400544
0.4,2,G1_unlimited,,2,0.64,0.639799
0.4,2,G2_max_3,,2,0.64,0.640267
0.4,2,G3_distinct_event_family,4,2,0.64,0.640081
0.4,3,G1_unlimited,,3,0.784,0.784082
0.4,3,G2_max_3,,3,0.784,0.784235
0.4,3,G3_distinct_event_family,4,3,0.784,0.784388
0.4,5,G1_unlimited,,5,0.9222400000000001,0.922014
0.4,5,G2_max_3,,3,0.784,0.784122
0.4,5,G3_distinct_event_family,4,4,0.8704000000000001,0.870421
0.4,10,G1_unlimited,,10,0.9939533824,0.993989
0.4,10,G2_max_3,,3,0.784,0.7837
0.4,10,G3_distinct_event_family,4,4,0.8704000000000001,0.870495
0.4,20,G1_unlimited,,20,0.9999634384155993,0.999957
0.4,20,G2_max_3,,3,0.784,0.783973
0.4,20,G3_distinct_event_family,4,4,0.8704000000000001,0.870268
0.4,40,G1_unlimited,,40,0.9999999986632505,1.0
0.4,40,G2_max_3,,3,0.784,0.783794
0.4,40,G3_distinct_event_family,4,4,0.8704000000000001,0.87025
0.7,1,G1_unlimited,,1,0.7,0.699998
0.7,1,G2_max_3,,1,0.7,0.700368
0.7,1,G3_distinct_event_family,4,1,0.7,0.70029
0.7,2,G1_unlimited,,2,0.9099999999999999,0.909804
0.7,2,G2_max_3,,2,0.9099999999999999,0.910043
0.7,2,G3_distinct_event_family,4,2,0.9099999999999999,0.909712
0.7,3,G1_unlimited,,3,0.973,0.973035
0.7,3,G2_max_3,,3,0.973,0.972877
0.7,3,G3_distinct_event_family,4,3,0.973,0.972973
0.7,5,G1_unlimited,,5,0.99757,0.997656
0.7,5,G2_max_3,,3,0.973,0.972954
0.7,5,G3_distinct_event_family,4,4,0.9919,0.991792
0.7,10,G1_unlimited,,10,0.9999940951,0.999995
0.7,10,G2_max_3,,3,0.973,0.973108
0.7,10,G3_distinct_event_family,4,4,0.9919,0.991786
0.7,20,G1_unlimited,,20,0.9999999999651321,1.0
0.7,20,G2_max_3,,3,0.973,0.972958
0.7,20,G3_distinct_event_family,4,4,0.9919,0.991761
0.7,40,G1_unlimited,,40,1.0,1.0
0.7,40,G2_max_3,,3,0.973,0.973228
0.7,40,G3_distinct_event_family,4,4,0.9919,0.991965
