grade_map,k_ratio,direction,varied_grade,fixed_category,p_any_analytical,p_any_simulated,a_probability_analytical,a_probability_simulated,b_probability_analytical,b_probability_simulated,fixed_probability_baseline,fixed_probability_pct_change
Wide,1.0,vary_B,NORMAL,A,0.375,0.37458,0.3125,0.312454,0.0625,0.062126,0.2777777777777778,12.5
Wide,1.0,vary_B,HIGH,A,0.4444444444444444,0.444874,0.2777777777777778,0.278095,0.16666666666666666,0.166779,0.2777777777777778,0.0
Wide,1.0,vary_B,VERY_HIGH,A,0.5652173913043478,0.565558,0.21739130434782605,0.21755,0.34782608695652173,0.348008,0.2777777777777778,-21.739130434782627
Wide,2.0,vary_A,NONE,B,0.13043478260869565,0.130566,0.0,0.0,0.13043478260869565,0.130566,0.10714285714285714,21.739130434782616
Wide,2.0,vary_A,LOW,B,0.14893617021276595,0.148375,0.02127659574468085,0.021214,0.1276595744680851,0.127161,0.10714285714285714,19.14893617021276
Wide,2.0,vary_A,NORMAL,B,0.2857142857142857,0.286475,0.17857142857142855,0.179284,0.10714285714285714,0.107191,0.10714285714285714,0.0
Wide,2.0,vary_A,HIGH,B,0.47368421052631576,0.473273,0.3947368421052631,0.394277,0.07894736842105263,0.078996,0.10714285714285714,-26.315789473684216
Wide,2.0,vary_A,VERY_HIGH,B,0.6825396825396826,0.682852,0.6349206349206349,0.635556,0.04761904761904762,0.047296,0.10714285714285714,-55.55555555555555
Wide,2.0,vary_B,NONE,A,0.2,0.199889,0.2,0.199889,0.0,0.0,0.17857142857142855,12.00000000000001
Wide,2.0,vary_B,LOW,A,0.20318725099601595,0.203447,0.199203187250996,0.199452,0.003984063745019921,0.003995,0.17857142857142855,11.55378486055778
Wide,2.0,vary_B,NORMAL,A,0.23076923076923078,0.231049,0.19230769230769232,0.192598,0.038461538461538464,0.038451,0.17857142857142855,7.692307692307709
Wide,2.0,vary_B,HIGH,A,0.2857142857142857,0.28586,0.17857142857142855,0.179198,0.10714285714285714,0.106662,0.17857142857142855,0.0
Wide,2.0,vary_B,VERY_HIGH,A,0.3939393939393939,0.394122,0.15151515151515152,0.152039,0.2424242424242424,0.242083,0.17857142857142855,-15.151515151515138
Wide,4.0,vary_A,NONE,B,0.06976744186046512,0.069754,0.0,0.0,0.06976744186046512,0.069754,0.0625,11.627906976744185
Wide,4.0,vary_A,LOW,B,0.08045977011494253,0.080201,0.011494252873563218,0.011443,0.06896551724137931,0.068758,0.0625,10.344827586206895
Wide,4.0,vary_A,NORMAL,B,0.16666666666666666,0.166435,0.10416666666666666,0.103758,0.0625,0.062677,0.0625,0.0
Wide,4.0,vary_A,HIGH,B,0.3103448275862069,0.310633,0.25862068965517243,0.259011,0.05172413793103448,0.051622,0.0625,-17.24137931034483
Wide,4.0,vary_A,VERY_HIGH,B,0.5180722891566265,0.518292,0.4819277108433735,0.482361,0.03614457831325302,0.035931,0.0625,-42.16867469879517
Wide,4.0,vary_B,NONE,A,0.1111111111111111,0.111528,0.11111111111111112,0.111528,0.0,0.0,0.10416666666666666,6.666666666666687
Wide,4.0,vary_B,LOW,A,0.1130820399113082,0.112808,0.11086474501108648,0.110637,0.0022172949002217295,0.002171,0.10416666666666666,6.430155210643029
Wide,4.0,vary_B,NORMAL,A,0.13043478260869565,0.129862,0.10869565217391304,0.108059,0.021739130434782608,0.021803,0.10416666666666666,4.347826086956519
Wide,4.0,vary_B,HIGH,A,0.16666666666666666,0.165905,0.10416666666666666,0.103771,0.0625,0.062134,0.10416666666666666,0.0
Wide,4.0,vary_B,VERY_HIGH,A,0.24528301886792453,0.244835,0.09433962264150944,0.093885,0.1509433962264151,0.15095,0.10416666666666666,-9.43396226415093
Wide,8.0,vary_A,NONE,B,0.03614457831325301,0.03631,0.0,0.0,0.03614457831325301,0.03631,0.034090909090909095,6.024096385542155
Wide,8.0,vary_A,LOW,B,0.041916167664670656,0.04194,0.005988023952095808,0.006117,0.03592814371257485,0.035823,0.034090909090909095,5.3892215568862145
Wide,8.0,vary_A,NORMAL,B,0.09090909090909091,0.090967,0.05681818181818182,0.05689,0.034090909090909095,0.034077,0.034090909090909095,0.0
