assertion,grade_map,k_ratio,case,p_any,combined_absolute_probability,reference_value,difference,passed
technical_split_p_any_invariant,Wide,4.0,100x1k,0.2,0.2,0.2,0.0,True
mode_split_p_any_invariant,Wide,4.0,25k_plus_25k_vs_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
mode_split_combined_absolute_invariant,Wide,4.0,25k_plus_25k_vs_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,1.3877787807814457e-17,True
none_addition_invariant,Wide,4.0,two_none_categories,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Wide,8.0,unsplit,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Wide,8.0,50k_plus_50k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Wide,8.0,10x10k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
technical_split_p_any_invariant,Wide,8.0,100x1k,0.1111111111111111,0.11111111111111112,0.1111111111111111,0.0,True
mode_split_p_any_invariant,Wide,8.0,25k_plus_25k_vs_50k,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
mode_split_combined_absolute_invariant,Wide,8.0,25k_plus_25k_vs_50k,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
none_addition_invariant,Wide,8.0,two_none_categories,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,True
