hour,light,water_temperature,temperature_trend,wind,GRASS,WOOD,DEEP_EDGE
0.0,0.0,18.5,-0.8660254037844387,0.625,1.25392282053092,0.8314053483955012,0.8662074040082447
0.16666666666666666,0.0004758892090711009,18.38810117495953,-0.8433914458128857,0.6154371533087585,1.2593866783937995,0.8296985333238145,0.8611330896950417
0.3333333333333333,0.0019026509541272274,18.279270690946863,-0.8191520442889919,0.6056545654351748,1.2644557722516192,0.8282766733175806,0.8562406661706837
0.5,0.004277569313094809,18.173715712973838,-0.7933533402912353,0.5956708580912724,1.2691169024044258,0.8271446500251243,0.8515415254513117
0.6666666666666666,0.00759612349389599,18.071637170940384,-0.7660444431189781,0.5855050358314171,1.273357631677077,0.8263067447029909,0.8470467653260545
0.8333333333333334,0.011851996440033319,17.973229377153018,-0.737277336810124,0.5751764498760682,1.2771663383543965,0.8257666119820076,0.8427671512791963
1.0,0.017037086855465844,17.878679656440358,-0.7071067811865475,0.5647047612756301,1.28053226790415,0.825527255111458,0.8387130782815702
1.1666666666666667,0.023141524625886534,17.78816798956963,-0.6755902076156602,0.5541099034845256,1.2834455831228633,0.8255910029000906,0.8348945326705014
1.3333333333333333,0.03015368960704584,17.701866670643067,-0.6427876096865394,0.5434120444167325,1.2858974123331668,0.8259594885702473,0.8313210543485033
1.5,0.03806023374435663,17.619939979126293,-0.6087614290087207,0.5326315480550128,1.2878798952586321,0.8266336307365622,0.8280016995399744
1.6666666666666667,0.04684610648167503,17.542543867133027,-0.5735764363510462,0.5217889356869145,1.2893862262031728,0.8276136167133239,0.824945004352123
1.8333333333333333,0.05649458341088914,17.469825662561345,-0.537299608346824,0.510904846841334,1.2904106941672209,0.8288988883447066,0.8221589493910517
2.0,0.06698729810778065,17.401923788646684,-0.5000000000000002,0.49999999999999994,1.290948719542213,0.8304881305396107,0.8196509256861712
2.1666666666666665,0.07830427709355708,17.338967500465337,-0.4617486132350342,0.489095153158666,1.2909968870385318,0.8323792626778815,0.817427702175738
2.3333333333333335,0.09042397785550416,17.28107663889005,-0.42261826174069933,0.47821106431308535,1.290552974519953,0.834569433037262,0.8154953950031897
2.5,0.10332332985438242,17.228361402466142,-0.3826834323650897,0.467368451944987,1.2896159774398142,0.8370550163706911,0.8138594388680214
